message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A verified business message with relevant context was routed as a notification.,0.85,message_0407;message_0263;message_0243;message_0102;message_0101;message_0220
msg_091,mute,scam,Suspicious or unsafe content was muted to reduce risk.,0.07,message_0095;message_0271;message_0036;message_0212;message_0211;message_0090;message_0086;message_0089;message_0385;message_0361
msg_090,digest,greeting,Low-priority content was grouped into the digest.,0.3,message_0214;message_0173;message_0213;message_0053;message_0056;message_0369;message_0092;message_0091;message_0087;message_0365
msg_048,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.4,message_0152;message_0151;message_0150;message_0149;message_0140;message_0139;message_0237;message_0100;message_0099
msg_040,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.15,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_075,notify,business_update,A verified business message with relevant context was routed as a notification.,0.68,message_0206;message_0205
msg_005,digest,promotion,Promotional content with low urgency was batched for later review.,0.33,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_104,digest,greeting,Low-priority content was grouped into the digest.,0.26,message_0115;message_0390;message_0332;message_0114;message_0352;message_0113;message_0307;message_0232;message_0231;message_0050
msg_069,mute,greeting,Repeated or low-trust content was muted because it looked low-value.,0.04,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_107,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.42,message_0214;message_0173;message_0213;message_0053;message_0056;message_0369;message_0092;message_0091;message_0087;message_0365
msg_070,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.36,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_003,notify,business_update,A verified business message with relevant context was routed as a notification.,0.78,message_0031;message_0267;message_0324;message_0106;message_0262;message_0105;message_0400;message_0239;message_0062;message_0004
msg_099,digest,promotion,Promotional content with low urgency was batched for later review.,0.52,message_0371;message_0230;message_0055;message_0249;message_0310;message_0228;message_0170;message_0227;message_0169;message_0362
msg_008,notify,business_update,A verified business message with relevant context was routed as a notification.,0.82,message_0072;message_0071;message_0296;message_0412
msg_092,notify,business_update,A verified business message with relevant context was routed as a notification.,0.56,message_0017;message_0153;message_0272;message_0156;message_0333;message_0275;message_0350;message_0353;message_0251;message_0312
msg_060,mute,event,Low-value or low-trust content was muted.,0.06,message_0176;message_0404;message_0284;message_0082;message_0081;message_0019;message_0175
msg_004,notify,business_update,A verified business message with relevant context was routed as a notification.,0.71,message_0245;message_0047;message_0064;message_0063;message_0005
msg_030,mute,promotion,Repeated or low-trust content was muted because it looked low-value.,0.1,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_045,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.28,message_0070;message_0008;message_0069;message_0146;message_0145
msg_052,mute,promotion,Low-value or low-trust content was muted.,0.0,message_0208;message_0207;message_0160;message_0159
msg_009,mute,event,Low-value or low-trust content was muted.,0.33,message_0313;message_0292;message_0074;message_0073;message_0343
msg_071,digest,greeting,Low-priority content was grouped into the digest.,0.3,message_0016;message_0035;message_0148;message_0147;message_0166;message_0046;message_0165;message_0197;message_0198
msg_016,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.24,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_065,mute,promotion,Suspicious or unsafe content was muted to reduce risk.,0.29,message_0186;message_0185;message_0188;message_0187;message_0261;message_0336;message_0351
msg_038,notify,urgent,"The message looks time-sensitive, so it was routed for immediate attention.",0.36,message_0131;message_0132;message_0247;message_0020;message_0080;message_0079
msg_086,notify,promotion,A verified business message with relevant context was routed as a notification.,0.61,message_0272;message_0109;message_0034;message_0112;message_0033;message_0111;message_0110;message_0007;message_0222;message_0299
msg_014,mute,promotion,Low-value or low-trust content was muted.,0.29,message_0017;message_0305;message_0084;message_0083;message_0317;message_0258;message_0018
msg_094,mute,promotion,Low-value or low-trust content was muted.,0.28,message_0017;message_0153;message_0272;message_0156;message_0333;message_0275;message_0350;message_0353;message_0251;message_0312
msg_029,mute,promotion,Repeated or low-trust content was muted because it looked low-value.,0.1,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_105,mute,spam,Repeated or low-trust content was muted because it looked low-value.,0.0,message_0194;message_0136;message_0078;message_0016;message_0193;message_0135;message_0077;message_0172;message_0233;message_0131
msg_002,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.54,message_0249;message_0170;message_0169;message_0266;message_0219;message_0218;message_0041;message_0003;message_0118;message_0397
msg_010,notify,business_update,A verified business message with relevant context was routed as a notification.,0.67,message_0311;message_0011;message_0242;message_0076;message_0075
msg_078,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.19,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_013,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.35,message_0176;message_0404;message_0284;message_0082;message_0081;message_0019;message_0175
msg_018,mute,promotion,Repeated or low-trust content was muted because it looked low-value.,0.11,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_044,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.39,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_032,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.44,message_0285;message_0325;message_0120;message_0119;message_0355
msg_106,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.44,message_0313;message_0374;message_0292;message_0234;message_0411;message_0074;message_0370;message_0073;message_0250;message_0192
msg_006,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.48,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_109,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.38,message_0152;message_0151;message_0150;message_0149;message_0140;message_0139;message_0237;message_0100;message_0099
msg_108,mute,scam,Low-value or low-trust content was muted.,0.0,message_0094;message_0093;message_0236
msg_019,mute,scam,Suspicious or unsafe content was muted to reduce risk.,0.0,message_0094;message_0093;message_0236
msg_088,mute,promotion,Low-value or low-trust content was muted.,0.16,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_056,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.38,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_027,digest,promotion,Promotional content with low urgency was batched for later review.,0.47,message_0272;message_0109;message_0034;message_0112;message_0033;message_0111;message_0110;message_0007;message_0222;message_0299
msg_050,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.41,message_0156;message_0155;message_0246;message_0279
msg_083,notify,unknown,"The message had clear relevance or urgency, so it was routed as a notification.",0.47,message_0249;message_0170;message_0169;message_0266;message_0219;message_0218;message_0041;message_0003;message_0118;message_0397
msg_063,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.4,message_0012;message_0164;message_0163;message_0182;message_0399;message_0181
msg_033,digest,promotion,Promotional content with low urgency was batched for later review.,0.17,message_0009;message_0265;message_0122;message_0121
msg_061,mute,greeting,Repeated or low-trust content was muted because it looked low-value.,0.06,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_020,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.4,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_017,notify,promotion,"The message had clear relevance or urgency, so it was routed as a notification.",0.18,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_058,mute,forward,Repeated or low-trust content was muted because it looked low-value.,0.0,message_0194;message_0136;message_0078;message_0193;message_0135;message_0077;message_0172;message_0171;message_0014;message_0013
msg_026,digest,event,Routine informational content was batched into the digest.,0.0,message_0032;message_0108;message_0107;message_0028
msg_047,digest,event,Routine informational content was batched into the digest.,0.33,message_0152;message_0151;message_0150;message_0149;message_0140;message_0139;message_0237;message_0100;message_0099
msg_046,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.46,message_0016;message_0035;message_0148;message_0147;message_0166;message_0046;message_0165;message_0197;message_0198
msg_042,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.35,message_0152;message_0151;message_0150;message_0149;message_0140;message_0139;message_0237;message_0100;message_0099
msg_079,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.36,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_098,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.52,message_0054;message_0035;message_0409;message_0368;message_0367;message_0387;message_0366;message_0148;message_0226;message_0168
msg_037,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.45,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_007,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.44,message_0070;message_0008;message_0069;message_0146;message_0145
msg_085,notify,scam,"The message had clear relevance or urgency, so it was routed as a notification.",0.12,message_0221
msg_001,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.52,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_021,notify,event,"The message had clear relevance or urgency, so it was routed as a notification.",0.56,message_0057;message_0271;message_0015;message_0130;message_0269;message_0129;message_0190;message_0030;message_0189;message_0029
msg_028,notify,promotion,A verified business message with relevant context was routed as a notification.,0.3,message_0272;message_0109;message_0034;message_0112;message_0033;message_0111;message_0110;message_0007;message_0222;message_0299
msg_012,mute,forward,Repeated or low-trust content was muted because it looked low-value.,0.0,message_0131;message_0132;message_0247;message_0020;message_0080;message_0079
msg_064,digest,promotion,Promotional content with low urgency was batched for later review.,0.25,message_0095;message_0214;message_0173;message_0115;message_0036;message_0213;message_0390;message_0053;message_0332;message_0114
msg_103,digest,greeting,Low-priority content was grouped into the digest.,0.3,message_0115;message_0390;message_0332;message_0114;message_0352;message_0113;message_0307;message_0232;message_0231;message_0050
